"date","open","high","low","close"
"2021-01-05","103.10","103.19","102.59","102.72"
"2021-01-04","103.24","103.32","102.70","103.13"
"2021-01-01","103.28","103.33","103.22","103.24"
"2023-02-09","131.41","131.82","130.34","131.54"
"2023-02-08","131.07","131.53","130.60","131.43"
"2023-02-07","132.66","132.72","130.48","131.08"
"2023-02-06","131.19","132.90","131.18","132.65"
"2023-02-03","128.71","131.22","128.33","131.18"
"2023-02-02","128.96","129.11","128.09","128.72"
"2023-02-01","130.09","130.41","128.55","128.95"
"2023-01-31","130.42","130.53","129.75","130.11"
"2023-01-30","129.88","130.62","129.21","130.44"
"2023-01-27","130.21","130.28","129.51","129.85"
"2023-01-26","129.60","130.62","129.03","130.22"
"2023-01-25","130.17","130.58","129.28","129.59"
"2023-01-24","130.66","131.12","129.73","130.16"
"2023-01-23","129.56","130.88","129.06","130.66"
"2023-01-20","128.43","130.61","128.35","129.50"
"2023-01-19","128.91","128.96","127.77","128.43"
"2023-01-18","128.13","131.58","127.58","128.92"
"2023-01-17","128.58","129.15","128.00","128.14"
"2023-01-16","127.89","128.87","127.22","128.57"
"2023-01-13","129.29","129.43","127.48","127.86"
"2023-01-12","132.47","132.52","128.89","129.30"
"2023-01-11","132.25","132.88","132.06","132.49"
"2023-01-10","131.88","132.48","131.41","132.25"
"2023-01-09","132.09","132.66","131.31","131.89"
"2023-01-06","133.41","134.76","132.00","132.11"
"2023-01-05","132.63","134.06","131.68","133.40"
"2023-01-04","131.03","132.72","129.94","132.63"
"2023-01-03","130.74","131.37","129.77","131.01"
"2023-01-02","131.12","131.12","130.63","130.74"
"2022-12-30","133.02","133.09","130.78","131.12"
"2022-12-29","134.46","134.46","132.88","133.03"
"2022-12-28","133.50","134.50","133.38","134.48"
"2022-12-27","132.88","133.59","132.63","133.50"
"2022-12-26","132.76","133.24","132.31","132.88"
"2022-12-23","132.34","133.14","132.17","132.79"
"2022-12-22","132.44","132.72","131.66","132.35"
"2022-12-21","131.72","132.50","131.50","132.46"
"2022-12-20","136.91","137.48","130.59","131.70"
"2022-12-19","136.71","137.19","135.75","136.91"
"2022-12-16","137.71","138.62","136.30","136.70"
"2022-12-15","135.48","138.18","135.24","137.77"
"2022-12-14","135.62","135.99","134.67","135.47"
"2022-12-13","137.66","137.97","134.68","135.59"
"2022-12-12","136.56","137.85","136.50","137.64"
"2022-12-09","136.68","136.87","135.61","136.57"
"2022-12-08","136.62","137.23","136.26","136.70"
"2022-12-07","137.04","137.85","136.23","136.62"
"2022-12-06","136.77","137.43","135.99","137.06"
"2022-12-05","134.31","136.85","134.14","136.79"
"2022-12-02","135.33","135.97","133.64","134.31"
"2022-12-01","138.06","138.12","135.21","135.34"
"2022-11-30","138.68","139.89","137.66","138.05"
"2022-11-29","138.92","139.35","137.87","138.71"
"2022-11-28","139.13","139.43","137.50","138.93"
"2022-11-25","138.61","139.59","138.39","139.19"
"2022-11-24","139.66","139.66","138.06","138.62"
"2022-11-23","141.22","141.61","139.19","139.59"
"2022-11-22","142.14","142.22","141.09","141.22"
"2022-11-21","140.34","142.25","140.17","142.14"
"2022-11-18","140.20","140.49","139.64","140.39"
"2022-11-17","139.52","140.75","138.88","140.20"
"2022-11-16","139.29","140.29","138.75","139.54"
"2022-11-15","139.88","140.60","137.79","139.31"
"2022-11-14","138.80","140.79","138.56","139.88"
